Emotions,words
anger,abhor
anger,abhorr
disgust,abhorr
anger,abhorrence
disgust,abhorrent
anger,abomin
disgust,abomin
disgust,abominably
anger,abominate
anger,abomination
joy,admir
surprise,admir
joy,admirable
joy,admirably
joy,admiration
surprise,admiration
joy,admire
joy,ador
joy,adorably
joy,adoration
joy,adoring
joy,affect
joy,affection
joy,affectional
joy,affectionate
joy,affectionateness
joy,affective
fear,affright
fear,afraid
anger,aggrav
anger,aggravate
anger,aggravated
anger,aggravation
anger,aggress
anger,aggression
anger,aggressive
anger,aggressiveness
sadness,aggriev
sadness,aggrieve
fear,alarm
fear,alarmed
fear,alert
joy,amat
joy,amative
joy,amatori
joy,amatory
surprise,amaz
surprise,amaze
surprise,amazed
surprise,amazement
surprise,amazing
surprise,amazingly
joy,amic
joy,amicability
joy,amicable
joy,amicableness
joy,amicably
anger,amok
joy,amor
joy,amorous
joy,amorousness
anger,amuck
anger,anger
anger,angered
anger,angri
anger,angrili
anger,angrily
anger,angry
anger,animos
anger,animosity
anger,animus
anger,annoy
anger,annoyance
anger,annoyed
anger,annoying
anger,antagon
anger,antagonism
joy,anticip
joy,anticipate
joy,anticipation
fear,anxious
fear,anxiously
fear,appal
fear,appall
joy,appreci
joy,appreciated
fear,apprehens
fear,apprehension
fear,apprehensive
fear,apprehensively
fear,apprehensiveness
joy,approb
joy,approbative
joy,approbatori
joy,approbatory
joy,approv
joy,approval
joy,approve
joy,approved
joy,approving
joy,ardor
joy,ardour
surprise,astoni
surprise,astonied
surprise,astonish
surprise,astonished
surprise,astonishing
surprise,astonishingly
surprise,astonishment
surprise,astound
surprise,astounded
surprise,astounding
fear,atroci
fear,atrocious
joy,attach
joy,attachment
sadness,attrit
sadness,attrition
anger,avarici
anger,avaricious
joy,avid
joy,avidity
joy,avidness
fear,aw
surprise,aw
surprise,awe
surprise,awed
surprise,awestricken
surprise,awestruck
fear,awful
surprise,awful
fear,awfully
sadness,bad
anger,bad_blood
anger,bad_temp
anger,bad_temper
anger,baffl
surprise,baffl
surprise,baffle
anger,baffled
anger,balk
anger,balked
joy,bang
joy,banter
joy,barrack
fear,bash
fear,bashfully
joy,be_on_cloud_nin
joy,be_on_cloud_nine
joy,beam
joy,beaming
surprise,beat
joy,becharm
anger,bedevil
anger,begrudg
anger,begrudge
anger,begrudging
joy,beguil
joy,beguile
joy,beguiled
anger,belliger
anger,belligerence
anger,belligerency
anger,belligerent
anger,belligerently
joy,belong
joy,belonging
joy,benef
joy,benefic
joy,beneficed
joy,beneficence
joy,beneficent
joy,benefici
joy,beneficially
joy,benevol
joy,benevolence
joy,benevolent
joy,benevolently
sadness,bereav
sadness,bereaved
sadness,bereft
surprise,besot
surprise,bewild
surprise,bewilder
joy,bewitch
joy,bewitching
anger,bitter
anger,bitterness
joy,blith
joy,blithely
joy,blitheness
sadness,blue
sadness,blue_devil
sadness,blue_devils
fear,bode
fear,boding
joy,bonheur
sadness,bore
sadness,bored
anger,bother
anger,bothersom
anger,bothersome
sadness,brokenhearted
sadness,brokenheartedness
anger,brood
joy,brother
joy,brotherhood
joy,brotherlik
joy,brotherlike
joy,brotherly
fear,browbeaten
fear,bulli
fear,bullied
joy,buoyanc
joy,buoyancy
joy,calf_lov
joy,calf_love
joy,captiv
joy,captivate
joy,captivated
joy,captivating
joy,captivation
joy,captur
joy,capture
joy,care
joy,carefre
joy,carefree
joy,carefreeness
joy,caring
sadness,cast_down
joy,catch
anger,chafe
joy,chaff
joy,charg
joy,charge
joy,charit
joy,charitable
joy,charm
joy,charmed
joy,cheer
joy,cheer_up
joy,cheerful
joy,cheerfully
joy,cheerfulness
joy,cheeri
joy,cheering
sadness,cheerless
sadness,cheerlessly
sadness,cheerlessness
joy,cheery
fear,chill
fear,chilling
joy,chirk_up
anger,choler
anger,choleric
disgust,churn_up
anger,class_feel
anger,class_feeling
fear,cliff-hang
joy,cliff-hang
fear,cliff-hanging
joy,cliff-hanging
joy,close
joy,closeness
fear,coldhearted
fear,coldheartedness
joy,comfort
joy,comfortable
joy,comfortableness
joy,comfortably
joy,comforting
joy,commend
joy,commendable
joy,compat
joy,compatibility
joy,compatible
joy,compatibly
joy,complac
joy,complacence
joy,complacency
joy,complacent
sadness,compunct
sadness,compunction
joy,concern
joy,congratul
joy,congratulate
joy,consol
joy,console
fear,constern
fear,consternation
anger,contemn
joy,content
joy,contented
joy,contentment
sadness,contrit
sadness,contrite
sadness,contritely
sadness,contriteness
sadness,contrition
anger,covet
anger,covetous
anger,covetously
anger,covetousness
fear,cow
fear,cowed
fear,cower
fear,crawl
fear,creep
fear,creeps
fear,cring
fear,cringe
anger,crucifi
anger,crucify
fear,cruel
fear,cruelli
fear,cruelly
fear,cruelti
fear,cruelty
joy,crush
anger,dander
sadness,dark
fear,dash
fear,daunt
surprise,daze
surprise,dazed
sadness,deject
joy,delight
joy,delighted
sadness,demor
sadness,demoralis
sadness,demoralising
sadness,demoralization
sadness,demoralize
sadness,demoralized
sadness,demoralizing
sadness,deplor
sadness,deplorable
sadness,deplorably
sadness,depress
sadness,depressed
sadness,depressing
sadness,depression
sadness,depressive
sadness,desol
sadness,desolate
sadness,desolation
sadness,despair
sadness,despairingly
anger,despis
anger,despisal
anger,despise
anger,despising
anger,despit
anger,despiteful
sadness,despond
sadness,despondence
sadness,despondency
sadness,despondent
sadness,despondently
anger,detest
disgust,detest
disgust,detestable
disgust,detestably
anger,detestation
anger,devil
joy,devot
joy,devoted
joy,devotedness
joy,devotion
fear,diffid
fear,diffidence
fear,diffident
fear,diffidently
sadness,dingi
sadness,dingy
fear,dire
fear,direful
sadness,disconsol
sadness,disconsolate
sadness,disconsolateness
anger,discourag
sadness,discourag
anger,discouraged
sadness,discouraged
anger,disdain
disgust,disgust
disgust,disgusted
disgust,disgustedly
disgust,disgustful
disgust,disgusting
disgust,disgustingly
sadness,dishearten
sadness,disheartened
sadness,disheartening
sadness,dismal
fear,dismay
sadness,dismay
sadness,dispirit
sadness,dispirited
sadness,dispiritedness
sadness,dispiriting
anger,displeas
anger,displease
anger,displeased
anger,displeasing
anger,displeasingly
anger,displeasur
anger,displeasure
disgust,distast
disgust,distasteful
disgust,distastefully
sadness,distress
sadness,distressed
sadness,dole
sadness,doleful
sadness,dolefully
sadness,dolefulness
sadness,dolor
sadness,dolorous
sadness,dolour
sadness,dolourous
sadness,down
sadness,downcast
sadness,downheart
sadness,downhearted
sadness,downheartedness
sadness,downtrodden
sadness,drab
fear,dread
fear,dreaded
fear,dreadful
fear,dreadfully
sadness,drear
sadness,dreari
sadness,dreary
anger,dudgeon
surprise,dumbfound
surprise,dumbfounded
surprise,dumfound
surprise,dumfounded
anger,dun
sadness,dysphor
sadness,dysphoria
sadness,dysphoric
joy,eager
joy,eagerly
joy,eagerness
joy,ebulli
joy,ebullient
joy,ebulliently
joy,elan
joy,elat
joy,elate
joy,elated
joy,elating
joy,elation
joy,embolden
joy,emot
joy,emotive
joy,empath
joy,empathet
joy,empathetic
joy,empathetically
joy,empathi
joy,empathic
joy,empathy
joy,enamor
joy,enamored
joy,enamoredness
joy,enamour
joy,enchant
joy,enchanting
joy,enchantment
joy,endear
joy,endearingly
anger,enfuri
anger,enfuriate
joy,enjoy
anger,enmiti
anger,enmity
anger,enrag
anger,enraged
anger,enragement
joy,enthral
joy,enthralled
joy,enthralling
joy,enthrallment
joy,enthusiasm
joy,enthusiast
joy,enthusiastic
joy,enthusiastically
joy,entranc
joy,entrance
joy,entranced
joy,entrancing
anger,envi
anger,enviabl
anger,enviable
anger,enviably
anger,envious
anger,enviously
anger,enviousness
anger,envy
joy,esteem
joy,euphor
joy,euphori
joy,euphoria
joy,euphoriant
joy,euphoric
anger,evil
anger,exacerb
anger,exacerbate
joy,exalt
anger,exasper
anger,exasperate
anger,exasperating
anger,exasperation
joy,excit
joy,excitement
joy,exciting
anger,execr
sadness,execr
sadness,execrable
anger,execrate
anger,execration
joy,exhilar
joy,exhilarate
joy,exhilarated
joy,exhilarating
joy,exhilaration
joy,exhort
joy,expans
joy,expansively
joy,expect
joy,expectancy
